"Sort Key","Type","Name","Version","Name Space Id","Description","Steward","Value Type","Minimum Cardinality","Maximum Cardinality","Minimum Value","Maximum Value","Minimum Characters","Maximum Characters","Unit of Measure Type","Specified Unit Id","Attribute Concept","Conceptual Domain"
"mars2020:Observation_Information:1       ","Class","Observation_Information","1.0.0.0","mars2020","The Observation_Information class provides information about a science observation.","geo","","","","","","","","","","",""
"mars2020:Observation_Information:2        mars2020:release_number:1                ","Attribute","release_number","n/a","mars2020","release_number is the identifier of a scheduled release of Mars 2020 data from PDS. The first Mars 2020 data release has release_number "01". The release_number for a given product is always the first release in which it appears, and does not change if the product is revised later.","geo","ASCII_Short_String_Collapsed","1","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mars2020:Observation_Information:2        mars2020:mission_phase_name:1            ","Attribute","mission_phase_name","n/a","mars2020","The mission_phase_name identifies a time period within the mission.","geo","ASCII_Short_String_Preserved","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mars2020:Observation_Information:2        mars2020:mission_phase_name:2             Value:ATLO","Value","ATLO","","","The ATLO mission phase (Assembly, Test, and Launch Operations) is the time of spacecraft and instrument assembly and test. During this phase data products are generated using flight hardware. They are usually not part of the final PDS archive but may be used for testing and peer review. "
"mars2020:Observation_Information:2        mars2020:mission_phase_name:2             Value:Cruise","Value","Cruise","","","The cruise mission phase is from the time of escape from Earth's orbit through the time of entry into Mars' orbit. Some data products may be generated during this time, including instrument checkout data."
"mars2020:Observation_Information:2        mars2020:mission_phase_name:2             Value:Development","Value","Development","","","The development mission phase refers to the period of data processing software development and testing, before instruments are integrated with the spacecraft. Data products generated during this phase are usually not part of the final PDS archive but may be used for testing and peer review."
"mars2020:Observation_Information:2        mars2020:mission_phase_name:2             Value:Surface Mission","Value","Surface Mission","","","The surface mission phase is the time from arrival at Mars through the end of surface operations, including the primary mission and any extended missions that may take place."
"mars2020:Observation_Information:2        mars2020:mission_phase_name:2             Value:Test","Value","Test","","","The test mission phase is not a time period but a placeholder for the mission_phase_name value, used for test data products."
"mars2020:Observation_Information:2        mars2020:product_type_name:1             ","Attribute","product_type_name","n/a","mars2020","The product_type_name identifies a group of data products within a collection that have some property in common, such as processing level, resolution, or instrument-specific setting. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","255","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mars2020:Observation_Information:2        mars2020:spacecraft_clock_start:1        ","Attribute","spacecraft_clock_start","n/a","mars2020"," The spacecraft_clock_start is the value of the spacecraft clock at the beginning of an observation, in seconds. Values are formed according to the pattern [p/]dddddddddd[.ffffff], where p is an optional partition number, dddddddddd is a whole number of seconds up to 10 digits, and .ffffff is an optional fraction of a second up to 6 digits. The whole number and fraction are separated by a period. If a partition number and slash are not present, then the attribute spacecraft_clock_partition must be used. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","19","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mars2020:Observation_Information:2        mars2020:spacecraft_clock_stop:1         ","Attribute","spacecraft_clock_stop","n/a","mars2020"," The spacecraft_clock_stop is the value of the spacecraft clock at the end of an observation, in seconds. Values are formed according to the pattern [p/]dddddddddd[.ffffff], where p is an optional partition number, dddddddddd is a whole number of seconds up to 10 digits, and .ffffff is an optional fraction of a second up to 6 digits. The whole number and fraction are separated by a period. If a partition number and slash are not present, then the attribute spacecraft_clock_partition must be used. ","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","1","19","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mars2020:Observation_Information:2        mars2020:spacecraft_clock_partition:1    ","Attribute","spacecraft_clock_partition","n/a","mars2020","The spacecraft_clock_partition provides the clock partition active for the spacecraft_clock_start and spacecraft_clock_stop attributes. This attribute may be used when the spacecraft_clock values do not include a partition number.","geo","ASCII_Integer","0","1","1","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mars2020:Observation_Information:2        mars2020:sol_number:1                    ","Attribute","sol_number","n/a","mars2020","Sol_number is the number of the Mars day on which an observation was acquired. Landing day is Sol 0.","geo","ASCII_Integer","0","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mars2020:Observation_Information:2        mars2020:start_sol_number:1              ","Attribute","start_sol_number","n/a","mars2020","Start_sol_number is the number of the Mars day on which a multiple-day observation was begun. Landing day is Sol 0.","geo","ASCII_Integer","0","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mars2020:Observation_Information:2        mars2020:stop_sol_number:1               ","Attribute","stop_sol_number","n/a","mars2020","Stop_sol_number is the number of the Mars day on which a multiple-day observation was ended. Landing day is Sol 0.","geo","ASCII_Integer","0","1","0","9223372036854775807","Unbounded","Unbounded","Units_of_None","none","TBD_classConcept","INTEGER"
"mars2020:Observation_Information:2        mars2020:start_local_mean_solar_time:1   ","Attribute","start_local_mean_solar_time","n/a","mars2020","Start_local_mean_solar_time is the local mean solar time, as defined in the main PDS4 data dictionary, at the beginning of an observation.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","10","24","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mars2020:Observation_Information:2        mars2020:stop_local_mean_solar_time:1    ","Attribute","stop_local_mean_solar_time","n/a","mars2020","Stop_local_mean_solar_time is the local mean solar time, as defined in the main PDS4 data dictionary, at the end of an observation.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","10","24","Units_of_None","none","TBD_classConcept","SHORT_STRING"
"mars2020:Observation_Information:2        mars2020:start_local_true_solar_time:1   ","Attribute","start_local_true_solar_time","n/a","mars2020","Start_local_true_solar_time is the local true solar time, as defined in the main PDS4 data dictionary, at the beginning of an observation.","geo","ASCII_Short_String_Collapsed","0","1","Unbounded","Unbounded","8","24","Units_of_None","none","TBD_classConcept","SHORT_STRING"
